Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022,Measure
Armenia,ARM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,2.739,1.864,1.954,2.183,1.845,
Bangladesh,BGD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.911,1.151,0.934,1.326,1.24,
Bhutan,BTN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.221,1.136,1.035,1.648,1.456,
Brunei Darussalam,BRN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.903,1.221,1.222,0.972,1.048,
Cambodia,KHM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.655,1.37,1.275,0.786,0.886,
China,CHN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.375,1.411,1.58,1.656,1.855,
Cyprus,CYP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,2.104,1.496,1.632,1.948,1.179,
Georgia,GEO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,2.514,1.775,2.031,1.757,1.632,
India,IND,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.881,0.813,0.529,0.734,0.784,
Indonesia,IDN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.846,1.026,1.192,0.992,0.957,
Iran,IRN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,2.065,1.589,1.335,2.161,2.366,
Iraq,IRQ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,2.394,1.619,1.854,2.661,2.169,
Israel,ISR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,2.139,1.343,1.612,1.964,1.275,
Japan,JPN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.908,1.253,1.418,1.253,1.316,
Jordan,JOR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,2.115,1.426,1.772,2.081,1.511,
Kazakhstan,KAZ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.605,1.447,2.8,1.41,2.665,
North Korea,PRK,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.935,1.889,1.892,1.87,1.581,
South Korea,KOR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.964,1.521,1.498,1.694,1.546,
Kyrgyzstan,KGZ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.155,1.597,1.282,1.297,2.491,
Laos,LAO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.788,2.014,1.546,1.078,0.903,
Lebanon,LBN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,2.235,1.494,1.726,2.157,1.413,
Malaysia,MYS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.026,1.318,1.281,1.106,1.014,
Maldives,MDV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.725,0.989,1.0,0.924,0.559,
Mongolia,MNG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,2.236,1.871,2.384,2.029,2.236,
Myanmar,MMR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.087,1.651,1.547,1.553,1.323,
Nepal,NPL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.63,0.699,0.059,0.428,0.963,
Oman,OMN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.319,1.089,0.757,1.537,1.226,
